1.00000000000000000e+00,9.47981050370773182e-01,9.16520867544385442e-01,8.59076645549847084e-01,8.25690021006794117e-01,7.91419777605584351e-01,6.62339158645560921e-01,5.22964561678844309e-01,2.24887680738125095e-01,-4.00783541509309060e-01,-5.57227377465244755e-01,-5.93497425164340675e-01,-5.53328762234387095e-01,-3.65904463693218773e-01,9.25254636893533683e-02
9.47981050370773182e-01,1.00000000000000000e+00,9.78691063081457924e-01,9.25064573738078932e-01,8.85517788737346545e-01,8.47855048109778631e-01,7.18041234985811960e-01,5.85878862036027570e-01,2.82133521278273069e-01,-3.88841976912251919e-01,-5.54988280037893578e-01,-5.86265502485450729e-01,-5.34821317798594653e-01,-3.13056993779322001e-01,1.94287467336026309e-01
9.16520867544385442e-01,9.78691063081457924e-01,1.00000000000000000e+00,9.68746150232806413e-01,9.37969292843529145e-01,9.05572834551664818e-01,7.93736060927614839e-01,6.72216443447856027e-01,3.88579818097885277e-01,-2.76120292321361205e-01,-4.51060218404561397e-01,-4.81128687074047823e-01,-4.23492966742040733e-01,-1.88564650435189746e-01,3.18550437930944397e-01
8.59076645549847084e-01,9.25064573738078932e-01,9.68746150232806413e-01,1.00000000000000000e+00,9.83032389412270446e-01,9.58550351173783510e-01,8.82998314854528621e-01,7.84591807537517560e-01,5.44681353505303778e-01,-8.29939541087411775e-02,-2.67151346385481381e-01,-2.97323800263432525e-01,-2.35032383573145681e-01,4.74564155518626685e-03,4.76967393724747168e-01
8.25690021006794117e-01,8.85517788737346545e-01,9.37969292843529145e-01,9.83032389412270446e-01,1.00000000000000000e+00,9.82336067578881367e-01,9.29621511783074173e-01,8.47951162293075100e-01,6.33200667848972998e-01,2.12496092263520092e-02,-1.71168109885093483e-01,-2.05407474545887425e-01,-1.44400833763281944e-01,9.09271582071331796e-02,5.35966834470103293e-01
7.91419777605584351e-01,8.47855048109778631e-01,9.05572834551664818e-01,9.58550351173783510e-01,9.82336067578881367e-01,1.00000000000000000e+00,9.65660975267277455e-01,8.98103478417813794e-01,7.04486977601176401e-01,9.86739035518783836e-02,-1.02305424669133171e-01,-1.41968635084464501e-01,-8.34658458145149662e-02,1.42916708514516405e-01,5.64814875880654266e-01
6.62339158645560921e-01,7.18041234985811960e-01,7.93736060927614839e-01,8.82998314854528621e-01,9.29621511783074173e-01,9.65660975267277455e-01,1.00000000000000000e+00,9.72942327617061786e-01,8.43964016329390443e-01,3.11005988689099011e-01,1.09308974540161627e-01,6.52283267916228815e-02,1.19255295016269594e-01,3.24698079442861109e-01,6.62221132536837898e-01
5.22964561678844309e-01,5.85878862036027570e-01,6.72216443447856027e-01,7.84591807537517560e-01,8.47951162293075100e-01,8.98103478417813794e-01,9.72942327617061786e-01,1.00000000000000000e+00,9.31024247450937259e-01,4.70597334404431189e-01,2.76158143086098207e-01,2.30579171841717251e-01,2.79752402622594376e-01,4.61039137717756453e-01,7.14536025070736103e-01
2.24887680738125095e-01,2.82133521278273069e-01,3.88579818097885277e-01,5.44681353505303778e-01,6.33200667848972998e-01,7.04486977601176401e-01,8.43964016329390443e-01,9.31024247450937259e-01,1.00000000000000000e+00,7.46047145166063297e-01,5.86826162479681779e-01,5.44656885815173908e-01,5.82930569260436626e-01,7.06788872475866303e-01,7.79601368065801936e-01
-4.00783541509309060e-01,-3.88841976912251919e-01,-2.76120292321361205e-01,-8.29939541087411775e-02,2.12496092263520092e-02,9.86739035518783836e-02,3.11005988689099011e-01,4.70597334404431189e-01,7.46047145166063297e-01,1.00000000000000000e+00,9.72528227030342918e-01,9.56410310091724281e-01,9.61503236941224082e-01,9.36698747885157279e-01,6.49086421022985083e-01
-5.57227377465244755e-01,-5.54988280037893578e-01,-4.51060218404561397e-01,-2.67151346385481381e-01,-1.71168109885093483e-01,-1.02305424669133171e-01,1.09308974540161627e-01,2.76158143086098207e-01,5.86826162479681779e-01,9.72528227030342918e-01,1.00000000000000000e+00,9.94618326063712366e-01,9.87746541527073973e-01,9.29612174081757336e-01,5.50441793142899316e-01
-5.93497425164340675e-01,-5.86265502485450729e-01,-4.81128687074047823e-01,-2.97323800263432525e-01,-2.05407474545887425e-01,-1.41968635084464501e-01,6.52283267916228815e-02,2.30579171841717251e-01,5.44656885815173908e-01,9.56410310091724281e-01,9.94618326063712366e-01,1.00000000000000000e+00,9.93066594711877637e-01,9.28463173287714216e-01,5.43326656906668926e-01
-5.53328762234387095e-01,-5.34821317798594653e-01,-4.23492966742040733e-01,-2.35032383573145681e-01,-1.44400833763281944e-01,-8.34658458145149662e-02,1.19255295016269594e-01,2.79752402622594376e-01,5.82930569260436626e-01,9.61503236941224082e-01,9.87746541527073973e-01,9.93066594711877637e-01,1.00000000000000000e+00,9.50891680752200430e-01,5.96795746920957715e-01
-3.65904463693218773e-01,-3.13056993779322001e-01,-1.88564650435189746e-01,4.74564155518626685e-03,9.09271582071331796e-02,1.42916708514516405e-01,3.24698079442861109e-01,4.61039137717756453e-01,7.06788872475866303e-01,9.36698747885157279e-01,9.29612174081757336e-01,9.28463173287714216e-01,9.50891680752200430e-01,1.00000000000000000e+00,7.57454332684847187e-01
9.25254636893533683e-02,1.94287467336026309e-01,3.18550437930944397e-01,4.76967393724747168e-01,5.35966834470103293e-01,5.64814875880654266e-01,6.62221132536837898e-01,7.14536025070736103e-01,7.79601368065801936e-01,6.49086421022985083e-01,5.50441793142899316e-01,5.43326656906668926e-01,5.96795746920957715e-01,7.57454332684847187e-01,1.00000000000000000e+00
