2.98258275686592231e-02,3.06675298688433400e-02,7.47247607543941872e-02,7.96191281704695247e-02,1.06315422917109062e-01,4.27481933163468775e-01,4.07099489088821043e-01,3.93883833164096031e-01,7.02729535064196442e-01,6.22745707494914646e-01,9.83831119732218817e-01,6.45699522951626803e-01,3.70891954554901315e-01,2.01171608521036438e-01,2.18718411900343218e-01,1.31751478179244659e-02,2.07551719367697791e-03,7.22258336190456153e-04,1.57935809414472592e-04
3.06675298688433400e-02,4.39469211842117569e-02,1.11295341518352214e-01,1.29303202895954039e-01,1.64109933700396948e-01,6.39961938554519771e-01,5.84071971897427877e-01,5.60825120242410380e-01,1.01203872229872149e+00,7.61657321060345338e-01,1.21664758780127347e+00,8.25791964464352879e-01,4.92268911083319660e-01,2.78552364975174216e-01,3.63770750822630162e-01,5.49827761068945875e-02,2.84495998798322191e-03,6.79421547238857567e-04,1.66663702649935550e-04
7.47247607543941872e-02,1.11295341518352214e-01,3.51407973812532193e-01,3.98787473631645240e-01,5.66178935835056962e-01,2.06039513503555716e+00,1.70047847789643347e+00,1.63528639857685687e+00,2.85991027330674719e+00,1.54749728723646607e+00,2.68271766313188964e+00,2.14940962994929219e+00,1.36050983375396406e+00,8.17139869644636252e-01,1.00153952862584528e+00,1.21417451927997133e-01,-5.16730385716714720e-04,1.45040609272549005e-03,4.29119442780941194e-04
7.96191281704695247e-02,1.29303202895954039e-01,3.98787473631645240e-01,6.11460446843669847e-01,6.79832466443972439e-01,2.41583112747520090e+00,2.01688305232431064e+00,1.88038176434298565e+00,3.53889082676630240e+00,1.77934841327363324e+00,3.03320643847114768e+00,2.42761139022909145e+00,1.58596379218242034e+00,9.82555621544154656e-01,1.78425471414849324e+00,5.15574213684386939e-01,1.56186625488266163e-02,4.52397254697773884e-04,1.71779721030677896e-04
1.06315422917109062e-01,1.64109933700396948e-01,5.66178935835056962e-01,6.79832466443972439e-01,1.07746321597631423e+00,3.58981001407198796e+00,2.59601180074478854e+00,2.51339434745836954e+00,4.32222480916454099e+00,1.03510088180862847e+00,2.54418320674514131e+00,3.01055006216687415e+00,2.07885884071123606e+00,1.34014096677543071e+00,1.64692176383718292e+00,2.00847155703248709e-01,-1.50288805589942672e-02,6.46717618967217103e-04,4.47762217323243209e-04
4.27481933163468775e-01,6.39961938554519771e-01,2.06039513503555716e+00,2.41583112747520090e+00,3.58981001407198796e+00,1.30697958508629792e+01,1.05444988746137707e+01,1.01816603283752816e+01,1.77061849535440210e+01,8.34593397531957670e+00,1.47038800588544198e+01,1.22988960444301583e+01,8.00916040787370243e+00,4.95369084575100782e+00,6.07646630494848328e+00,7.25618535826214051e-01,-2.86576021845346036e-02,5.04664325933825916e-03,2.01626171951414020e-03
4.07099489088821043e-01,5.84071971897427877e-01,1.70047847789643347e+00,2.01688305232431064e+00,2.59601180074478854e+00,1.05444988746137707e+01,1.02138471619182827e+01,9.84013597581000887e+00,1.73374084352113300e+01,1.28622448868280941e+01,1.94041971194863834e+01,1.19016994417282156e+01,7.18701493301937600e+00,4.22207243536675492e+00,5.38258475230068534e+00,7.36140064814674755e-01,1.54368329836965194e-02,7.05890708369119341e-03,1.93929112271519532e-03
3.93883833164096031e-01,5.60825120242410380e-01,1.63528639857685687e+00,1.88038176434298565e+00,2.51339434745836954e+00,1.01816603283752816e+01,9.84013597581000887e+00,9.73788990461603632e+00,1.69803574358231337e+01,1.24551737552989472e+01,1.87807898721112281e+01,1.14273652098852487e+01,6.90638139742569557e+00,4.08848880369590617e+00,4.99896335383946866e+00,5.86542460478409078e-01,3.85335605792351456e-03,6.78660383436354136e-03,1.87587302495864595e-03
7.02729535064196442e-01,1.01203872229872149e+00,2.85991027330674719e+00,3.53889082676630240e+00,4.32222480916454099e+00,1.77061849535440210e+01,1.73374084352113300e+01,1.69803574358231337e+01,3.08594942596406696e+01,2.31478888318055631e+01,3.44425695977218496e+01,2.10782386985095584e+01,1.28172436931726974e+01,7.63022467844143915e+00,1.07299605659871649e+01,2.04445555359114639e+00,6.70799286049141297e-02,1.36042978330717587e-02,3.12183933253380947e-03
6.22745707494914646e-01,7.61657321060345338e-01,1.54749728723646607e+00,1.77934841327363324e+00,1.03510088180862847e+00,8.34593397531957670e+00,1.28622448868280941e+01,1.24551737552989472e+01,2.31478888318055631e+01,3.41581007815363051e+01,4.72210085485482978e+01,1.85694040272511920e+01,8.60659270363921181e+00,3.66883647451366635e+00,3.96013066832149940e+00,-1.19663886907396572e-01,1.41040443933835635e-01,2.25529948844772760e-02,4.61475811223941660e-03
9.83831119732218817e-01,1.21664758780127347e+00,2.68271766313188964e+00,3.03320643847114768e+00,2.54418320674514131e+00,1.47038800588544198e+01,1.94041971194863834e+01,1.87807898721112281e+01,3.44425695977218496e+01,4.72210085485482978e+01,6.92549497697736882e+01,2.90213550731971601e+01,1.38949790670088547e+01,6.24717403380676206e+00,6.41465561478324009e+00,-4.13798876451054398e-01,1.70138439387438500e-01,3.36124854768148906e-02,7.50033081524255785e-03
6.45699522951626803e-01,8.25791964464352879e-01,2.14940962994929219e+00,2.42761139022909145e+00,3.01055006216687415e+00,1.22988960444301583e+01,1.19016994417282156e+01,1.14273652098852487e+01,2.10782386985095584e+01,1.85694040272511920e+01,2.90213550731971601e+01,2.57650849728364335e+01,1.58809853757827231e+01,8.70463469199382445e+00,1.18989611835096625e+01,2.80795357934175094e+00,2.60320725415198184e-01,4.31237019371687458e-02,7.37553334570295246e-03
3.70891954554901315e-01,4.92268911083319660e-01,1.36050983375396406e+00,1.58596379218242034e+00,2.07885884071123606e+00,8.00916040787370243e+00,7.18701493301937600e+00,6.90638139742569557e+00,1.28172436931726974e+01,8.60659270363921181e+00,1.38949790670088547e+01,1.58809853757827231e+01,1.08132391989236911e+01,6.43826943552989039e+00,9.71539122512687037e+00,2.86722306579856223e+00,1.97068833866440613e-01,2.93142953482156653e-02,4.49890319516094758e-03
2.01171608521036438e-01,2.78552364975174216e-01,8.17139869644636252e-01,9.82555621544154656e-01,1.34014096677543071e+00,4.95369084575100782e+00,4.22207243536675492e+00,4.08848880369590617e+00,7.63022467844143915e+00,3.66883647451366635e+00,6.24717403380676206e+00,8.70463469199382445e+00,6.43826943552989039e+00,4.30198465370500482e+00,7.15744515269810133e+00,2.35932459587050802e+00,1.27068769727522624e-01,1.75833146488352868e-02,2.35148028782184619e-03
2.18718411900343218e-01,3.63770750822630162e-01,1.00153952862584528e+00,1.78425471414849324e+00,1.64692176383718292e+00,6.07646630494848328e+00,5.38258475230068534e+00,4.99896335383946866e+00,1.07299605659871649e+01,3.96013066832149940e+00,6.41465561478324009e+00,1.18989611835096625e+01,9.71539122512687037e+00,7.15744515269810133e+00,1.60829560083251017e+01,6.65086544319433148e+00,3.35378168791724662e-01,2.85343906225456467e-02,2.38355899842258769e-03
1.31751478179244659e-02,5.49827761068945875e-02,1.21417451927997133e-01,5.15574213684386939e-01,2.00847155703248709e-01,7.25618535826214051e-01,7.36140064814674755e-01,5.86542460478409078e-01,2.04445555359114639e+00,-1.19663886907396572e-01,-4.13798876451054398e-01,2.80795357934175094e+00,2.86722306579856223e+00,2.35932459587050802e+00,6.65086544319433148e+00,3.44487187073967682e+00,1.80067786642491123e-01,1.15322753805452843e-02,4.40900565224398952e-04
2.07551719367697791e-03,2.84495998798322191e-03,-5.16730385716714720e-04,1.56186625488266163e-02,-1.50288805589942672e-02,-2.86576021845346036e-02,1.54368329836965194e-02,3.85335605792351456e-03,6.70799286049141297e-02,1.41040443933835635e-01,1.70138439387438500e-01,2.60320725415198184e-01,1.97068833866440613e-01,1.27068769727522624e-01,3.35378168791724662e-01,1.80067786642491123e-01,1.62921070933358461e-02,1.45155502445577225e-03,1.38487631235772139e-04
7.22258336190456153e-04,6.79421547238857567e-04,1.45040609272549005e-03,4.52397254697773884e-04,6.46717618967217103e-04,5.04664325933825916e-03,7.05890708369119341e-03,6.78660383436354136e-03,1.36042978330717587e-02,2.25529948844772760e-02,3.36124854768148906e-02,4.31237019371687458e-02,2.93142953482156653e-02,1.75833146488352868e-02,2.85343906225456467e-02,1.15322753805452843e-02,1.45155502445577225e-03,2.96016826513926113e-04,3.31069439353042877e-05
1.57935809414472592e-04,1.66663702649935550e-04,4.29119442780941194e-04,1.71779721030677896e-04,4.47762217323243209e-04,2.01626171951414020e-03,1.93929112271519532e-03,1.87587302495864595e-03,3.12183933253380947e-03,4.61475811223941660e-03,7.50033081524255785e-03,7.37553334570295246e-03,4.49890319516094758e-03,2.35148028782184619e-03,2.38355899842258769e-03,4.40900565224398952e-04,1.38487631235772139e-04,3.31069439353042877e-05,3.44210167557571224e-05
