0.0375,0.0205,0.0133,0.0151,0.0158,0.0150,0.0123,0.0096,0.0587,nan,nan,nan,nan
0.0277,0.0145,0.0095,0.0107,0.0112,0.0109,0.0093,0.0058,0.0077,0.0300,nan,nan,nan
0.0219,0.0118,0.0078,0.0088,0.0094,0.0091,0.0080,0.0050,0.0059,0.0085,0.0250,nan,nan
0.0202,0.0109,0.0070,0.0081,0.0086,0.0084,0.0073,0.0046,0.0054,0.0073,0.0095,0.1293,nan
0.0196,0.0104,0.0068,0.0076,0.0080,0.0080,0.0072,0.0044,0.0051,0.0068,0.0078,0.0176,nan
0.0186,0.0099,0.0064,0.0073,0.0077,0.0077,0.0067,0.0041,0.0048,0.0063,0.0073,0.0129,0.0445
0.0180,0.0094,0.0061,0.0069,0.0073,0.0073,0.0065,0.0040,0.0046,0.0060,0.0071,0.0126,0.0274
0.0175,0.0092,0.0060,0.0067,0.0072,0.0072,0.0064,0.0039,0.0045,0.0060,0.0071,0.0133,0.0264
0.0177,0.0094,0.0061,0.0068,0.0074,0.0073,0.0065,0.0040,0.0046,0.0062,0.0076,0.0146,0.0293
0.0139,0.0074,0.0048,0.0054,0.0058,0.0059,0.0053,0.0033,0.0038,0.0052,0.0064,0.0128,0.0248
0.0192,0.0100,0.0065,0.0072,0.0079,0.0080,0.0072,0.0045,0.0053,0.0072,0.0091,0.0182,0.0351
0.0287,0.0151,0.0098,0.0111,0.0119,0.0119,0.0110,0.0068,0.0080,0.0110,0.0138,0.0266,0.0453
0.0440,0.0237,0.0153,0.0173,0.0185,0.0191,0.0168,0.0105,0.0123,0.0168,0.0207,0.0374,0.0609
0.0420,0.0221,0.0144,0.0156,0.0172,0.0175,0.0161,0.0095,0.0107,0.0142,0.0164,0.0281,0.0367
