8.72956819749468546e-82,9.23663511624823584e-82,9.70100798938501466e-82,8.95566043137313308e-82,8.84310689080847637e-82,9.43865436191724967e-82,1.01411512744813531e-81,9.56389187204332823e-82,5.97310934187540651e-82,4.02566059200917277e-83,-1.45394533509322054e-82,-9.90759472167914189e-83,-3.97090202171851112e-83,-2.38806516909529229e-84
9.23663511624823584e-82,1.29173760056424936e-81,1.57800556376185835e-81,1.70405061379742345e-81,1.83140022097914306e-81,2.01556116285557693e-81,2.18544944408635213e-81,2.16851424731010990e-81,1.73558603397824291e-81,9.07918494421199848e-82,3.15362488203778297e-82,1.04297221256275108e-82,4.83340435056307169e-83,1.91192641820304146e-83
9.70100798938501466e-82,1.57800556376185835e-81,2.24461614231228017e-81,2.52959223266768003e-81,2.79111814031525344e-81,3.10601831673162118e-81,3.37924000464745696e-81,3.40248579611078329e-81,2.86444737975507072e-81,1.70229354018939643e-81,7.01428355933488522e-82,2.60544436398644270e-82,1.13960851530610029e-82,3.57247431929240628e-83
8.95566043137313308e-82,1.70405061379742345e-81,2.52959223266768003e-81,3.09788533663375918e-81,3.41996375405136150e-81,3.80811702468204852e-81,4.15171478093672605e-81,4.22052922100552173e-81,3.69055291584795345e-81,2.41624985330217004e-81,1.11590113162482557e-81,4.51799480877870615e-82,1.96967265559526463e-82,5.47441619437799159e-83
8.84310689080847637e-82,1.83140022097914306e-81,2.79111814031525344e-81,3.41996375405136150e-81,3.94531709528158475e-81,4.34561110385844403e-81,4.70892052797831594e-81,4.80494740261734196e-81,4.25940009036539939e-81,2.87097247974392433e-81,1.36520203069085163e-81,5.62005124728439686e-82,2.44717861550777995e-82,6.61544858716832834e-83
9.43865436191724967e-82,2.01556116285557693e-81,3.10601831673162118e-81,3.80811702468204852e-81,4.34561110385844403e-81,4.94028049603447236e-81,5.30652613686895182e-81,5.37665109283307789e-81,4.78484854495753376e-81,3.25356196075215550e-81,1.55743960389177206e-81,6.43456144537892876e-82,2.79857200302859953e-82,7.49670025657645525e-83
1.01411512744813531e-81,2.18544944408635213e-81,3.37924000464745696e-81,4.15171478093672605e-81,4.70892052797831594e-81,5.30652613686895182e-81,5.84219925864469107e-81,5.89130476840962569e-81,5.21894556110037082e-81,3.56387452673827770e-81,1.71666828332952750e-81,7.12284647949581485e-82,3.09867715802909858e-82,8.26348118103358273e-83
9.56389187204332823e-82,2.16851424731010990e-81,3.40248579611078329e-81,4.22052922100552173e-81,4.80494740261734196e-81,5.37665109283307789e-81,5.89130476840962569e-81,6.11911052558290244e-81,5.45287471946122308e-81,3.74608964931855182e-81,1.82923402786296872e-81,7.70840374021007612e-82,3.35493428490116558e-82,8.81647770338535694e-83
5.97310934187540651e-82,1.73558603397824291e-81,2.86444737975507072e-81,3.69055291584795345e-81,4.25940009036539939e-81,4.78484854495753376e-81,5.21894556110037082e-81,5.45287471946122308e-81,5.09075114783098763e-81,3.76292201467040701e-81,1.96085738742317584e-81,8.68869161670846063e-82,3.81867952225957309e-82,9.52353028962533909e-83
4.02566059200917277e-83,9.07918494421199848e-82,1.70229354018939643e-81,2.41624985330217004e-81,2.87097247974392433e-81,3.25356196075215550e-81,3.56387452673827770e-81,3.74608964931855182e-81,3.76292201467040701e-81,3.33733055524273098e-81,1.99395796843277047e-81,9.51092352913884944e-82,4.20165514436012818e-82,9.85560969592486796e-83
-1.45394533509322054e-82,3.15362488203778297e-82,7.01428355933488522e-82,1.11590113162482557e-81,1.36520203069085163e-81,1.55743960389177206e-81,1.71666828332952750e-81,1.82923402786296872e-81,1.96085738742317584e-81,1.99395796843277047e-81,1.32351112871086610e-81,6.60009079673991436e-82,2.89920534805936922e-82,6.62504946262316915e-83
-9.90759472167914189e-83,1.04297221256275108e-82,2.60544436398644270e-82,4.51799480877870615e-82,5.62005124728439686e-82,6.43456144537892876e-82,7.12284647949581485e-82,7.70840374021007612e-82,8.68869161670846063e-82,9.51092352913884944e-82,6.60009079673991436e-82,3.42790267508746717e-82,1.51934222676794562e-82,3.37869416847579170e-83
-3.97090202171851112e-83,4.83340435056307169e-83,1.13960851530610029e-82,1.96967265559526463e-82,2.44717861550777995e-82,2.79857200302859953e-82,3.09867715802909858e-82,3.35493428490116558e-82,3.81867952225957309e-82,4.20165514436012818e-82,2.89920534805936922e-82,1.51934222676794562e-82,6.91408609283733242e-83,1.52202661916758849e-83
-2.38806516909529229e-84,1.91192641820304146e-83,3.57247431929240628e-83,5.47441619437799159e-83,6.61544858716832834e-83,7.49670025657645525e-83,8.26348118103358273e-83,8.81647770338535694e-83,9.52353028962533909e-83,9.85560969592486796e-83,6.62504946262316915e-83,3.37869416847579170e-83,1.52202661916758849e-83,3.57583089712158978e-84
